id,ushio,kageyama,katou,saitou,sasaki_kumi,sasaki_mirei,takase,takamoto,higashimura,kanemura,kawata,kosaka,tomita,nibu,hamagishi,matuda,miyata,watanabe,kamimura,takahashi,morimoto,yamaguchi
322,,,,,,,,,,,2,,,1,,,,,,,,
323,,,,2,,,1,,2,,,,,,,,,,,,,
324,,,,,,,,,1,,,,,,2,,,,,,,
325,,,,,,,,,,,,,,,,2,,2,,,1,
326,1,,,,2,,,,,,,2,,,,,,,,,,
327,,,,,,,,,,,,1,,,,,,2,,,,
328,,,,,1,,,,2,,,,,,,,,,,,,
329,,,,2,1,,,,,,,,,,,,,,,,,
330,,,,1,2,,,,,,,,,,,,,,,,,
331,,1,,,,2,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,2,,1,,,,,,
333,,,,,,,,,,2,,,,,,1,,,,,,
334,,,,,,,,,,,,,,,1,,2,,,,,
335,,,,,,,,2,,,,,,,,1,,,,,,
336,,,,,,,,,,,2,,,,,,,,,,,1
337,,,,,,,,,,,,2,,,,,1,,2,,,
338,1,,2,,2,2,2,2,,2,2,2,2,2,,2,2,,2,,,
339,,,,2,,,,,1,,,,,,,,,,,,,
340,,,,,,,,,,1,,,,2,,2,,,,,,
341,1,,,,,,,,,,,2,,,,,,,,,,
342,,,,,,,,,,,,,2,1,,,,,,,,
343,,,,,2,1,,,,,,,,,,,,,2,,,
344,,,,,,,,,,2,,2,,,,2,1,,2,,,
345,,,2,,1,,,,,,,,,,,,,,,,,
346,1,,,,,,,,,,,,,2,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,1,2,
348,,2,,,,,,,1,,,,,,,,,,,,,
349,,,,,,,,,,,,,2,,,1,,,,,,
350,1,,,,,,,,2,,,,,,,,,,,,,
351,,,2,,1,,,,,,,,,,,,,,,,,
352,,,,2,,,,1,,,,,,,,,,,,,,
353,,,,,,,,,,,,1,,,,,2,,,,,
354,2,,,,2,1,,,,,,,,,,,,,,,,
355,,,,,1,,,,,2,2,,,,,,,,,,,
356,,,,,,,,,1,,,,,,2,,,,2,,,
357,,,,,,,,,,,1,,,,,,2,,,,,
358,,,,,1,,,,2,,,,,,,,,2,,,,
359,,,,,,,,,,,,,,2,,,1,,2,,,
360,,,,,,,,,,2,,,,,,,,1,,,,
361,,,,,,,,2,1,,,,,,,,,,,,,
362,2,,,,,,,,,,,,,1,,,,,,,,
363,,,,,,,,,,,,,,,,,,,1,2,,
364,,,,,,,,,,2,1,,,,,2,,,,,,
365,,,,,,,,,,,,,,,,1,2,,,,,
366,,,,,,,,,,,,,,,,,,,2,,,1
367,,,,,,,2,,,,1,,,,,,,,,,,
368,,,,,2,,,,,,,,2,,,,,,,1,,
369,,2,,,,,,,,,,,1,,,,,,,,,
370,,,,,,,,,,1,,2,,,,,,,,,,
371,,,2,1,2,,,2,2,,2,,,,,,,2,,,,
372,,,,,,,,,,1,,,,,,,,,2,,,
373,,,1,2,,,,,,,,,,,,,,,,,,
374,,,,,1,,,,,,,2,,,,,,,,,,
375,,,,,,,2,,,,,,,,,1,,,,,,
376,1,,,,,,,,,2,,,,,,,,,,,,
377,,,2,,,,,,,,,1,,,,,,,,,,
378,,,,,,,,1,,,,,,,,2,,,,,,
379,,,,,,,,,,,,,,,,,,,,1,,2
380,,,,1,,2,,2,,,,,,,,,,,,,,
381,,2,,,,,1,,,,,,,,,,,,,,,
382,,,2,,,,,,1,,,,,,,,,,,,,
383,,,,,,,,,,,,2,,,,1,,,,,,
384,,,,,,,,,,2,,,,,,1,,,,,,
385,,,,,2,,1,,,,2,,,,,,,,,,,
386,,,,,,,2,,,,,,,,,,1,,,,,
387,,1,,,,,,,,,,2,,,,,,,,,,
388,,,,,,,,,,,,,,1,,,,,2,,,
389,,2,,,,,,,,,,,,1,,,,,,,,
390,,,,2,,,,,1,,,,,,,,,,,,,
391,,,1,,,,,,,,,,,,,,,,,,,2
392,,,,,,,,,,,,,,,2,,,,,1,,
393,,,,,,,,,,,1,,,,,2,,,,,,
394,,,,,2,2,1,,,,2,,2,2,,,,,2,,,
395,,,,,,,,,,,,2,1,,,,,,,,,
